userId,movieId,score
101,1,4.5
101,2,5
102,1,4
102,3,4.8
102,2,4.6
102,5,4.3
102,6,4.9
102,7,4.7
102,8,4.8
102,20,4.4
103,1,4.5
103,2,4.8
103,4,4.9
103,5,4.6
103,6,4.9
103,8,4.7
103,20,4.5
103,21,4.4
104,1,4.2
104,2,4.7
104,6,5
104,7,4.8
104,9,4.4
104,10,4.6
104,17,4.7
105,1,5
105,2,4.9
105,5,4.8
105,8,4.9
105,19,4.6
105,28,4.7
105,30,4.3
106,4,4.8
106,14,5
106,15,4.7
106,23,4.6
106,24,4.5
106,25,4.4
106,26,4.3
106,27,4.2
107,3,4.9
107,35,4.2
107,36,4.1
107,46,4.5
107,47,4.6
107,48,4.7
107,49,4.4
107,50,4.8
108,5,4.6
108,11,4.7
108,12,4.6
108,13,4.9
108,20,4.5
108,21,4.8
108,41,4.4
108,45,4.7
109,16,4.4
109,22,4.3
109,31,4.5
109,32,4.2
109,38,4.6
109,39,4.1
109,40,3.9
109,43,4
110,28,4.8
110,29,4.2
110,30,4.4
110,41,4.5
110,42,4.7
110,44,4.6
110,45,4.5
110,53,4.8
